Type,Identification,Field,Locale,Market,Status,Default content,Translated content
Product,soup-kettle-gourmet-10l-100047,title,en,,,Soppkastrull Gourmet 10L,Soup kettle Gourmet 10L
Product,soup-kettle-gourmet-10l-100047,body_html,en,,,"Soppgryta Gourmet med 10 liters innerkärl i kromnickelstål, indirekt uppvärmning och steglös reglering upp till 95 °C. Soppsked ingår, vridbart lock med skedurtag. För restauranger och bufféer med stort soppbehov och krav på smidig handhavande.","Gourmet soup pot with 10-litre stainless steel Inner pot, indirect heating and infinitely variable control up to 95 °C. Soup ladle included, swivelling hinged lid with Spoon recess. For restaurants and buffets with high soup demand and a need for convenient operation."
Product,soup-kettle-10l-100048,title,en,,,Soppkastrull 10L,Soup kettle 10L
Product,soup-kettle-10l-100048,body_html,en,,,Det genomskinliga locket i polykarbonat g&ouml;r att du alltid kan se in i grytan. Inget kr&aring;ngligt kontrollerande av m&auml;ngden soppa eller s&aring;s &ndash; ingen on&ouml;dig v&auml;rmef&ouml;rlust.,The transparent polycarbonate lid allows you to look inside the soup pot at any time. No more checking the filling level of soups and sauces - no unnecessary heat loss
Product,party-kettle-9l-100054,title,en,,,Partykastrull 9L,Party kettle 9L
Product,party-kettle-9l-100054,body_html,en,,,"Partypanna med 9 liters innerkanna i rostfritt stål, indirekt uppvärmning och steglös reglering upp till 95 °C. Fällbart lock med skedutrymme, 8 magnetiska etiketter, 0,4 kW. För bufféer, föreningskök och cateringfirmor som vill hålla flera soppsorter varma samtidigt.","Party pot with 9-litre stainless steel inner pot, indirect heating and infinitely variable control up to 95 °C. Hinged lid with spoon recess, 8 magnetic labels, 0.4 kW. For buffets, club kitchens and caterers who wish to keep several types of soup warm at the same time."
Product,soup-kettle-de-luxe-9l-100058,title,en,,,Soppkastrull De Luxe 9L,Soup kettle De Luxe 9L
Product,soup-kettle-economic-9l-100061,title,en,,,Soppkastrull Economic 9L,Soup kettle Economic 9L
Product,soup-kettle-economic-9l-100061,body_html,en,,,"Soppgryta Economic med 9 liters innergryta i rostfritt stål, indirekt uppvärmning och steglös reglering upp till 94 °C. Fällbart lock med vridfunktion och värmeskyddshandtag, 8 magnetiska etiketter. Prisvärd instegslösning för restauranger och bufféer med regelbundet soppbehov.","Economic soup pot with 9-litre stainless steel inner pot, indirect heating and infinitely variable control up to 94 °C. Hinged lid with swivel function and heat-resistant handle, 8 magnetic labels. Affordable entry-level solution for restaurants and buffets with regular soup requirements."
Product,soup-kettle-5-4l-100062,title,en,,,"Soppkastrull 5,4L","Soup kettle 5,4L"
Product,soup-kettle-5-4l-100062,body_html,en,,,"Elektrisk soppkanna med 5,4 liters Innerkärl i rostfritt stål, indirekt uppvärmning och steglös temperaturreglering upp till 95 °C. Med 8 magnetiska etiketter. Fällbart, vridbart handtag. För restauranger och bufféer som håller flera soppor varma samtidigt.","Electric soup pot with 5.4-litre stainless steel Inner pot, indirect heating and infinitely variable Temperature control up to 95 °C. With 8 magnetic labelling plates. Foldable, swivelling Handle. For restaurants and buffets that keep several soups warm at the same time."
Product,soup-kettle-club-8-5l-100067,title,en,,,"Soppkastrull Club 8,5L","Soup kettle Club 8,5L"
