Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,Genişlik (product.metafields.piro.genislik),Derinlik (product.metafields.piro.derinlik),Yükseklik (product.metafields.piro.yukseklik),Garanti ay (product.metafields.piro.garanti),Teslim gün (product.metafields.piro.teslim)
transport-cart-tbgn110-300135,Transportvagn TBGN110,"<p>Mer mobilitet för termo-transportkantin GN110-1 och GN110-12. Kanten på transportvagnen förhindrar att boxarna glider iväg.</p>
<h3>Teknik bilgiler</h3><table>
<tr><td>Ölçüler</td><td>720 × 545 × 190 mm</td></tr>
<tr><td>Ağırlık</td><td>6.2 kg</td></tr>
<tr><td>Med handtag</td><td>nej</td></tr>
<tr><td>Djup kontaktyta</td><td>660 mm</td></tr>
<tr><td>Leveransskick</td><td>Färdigmonterat</td></tr>
<tr><td>Utförande</td><td>Kontaktyta med snedkant</td></tr>
<tr><td>Användningsområden</td><td>Transport</td></tr>
<tr><td>Bredd avställningsyta</td><td>490 mm</td></tr>
<tr><td>Färg</td><td>Svart</td></tr>
<tr><td>Diameter rullar</td><td>100 mm</td></tr>
<tr><td>Hjul</td><td>2 rullar, 2 hjul med spärrar</td></tr>
<tr><td>Bärförmåga totalt, max.</td><td>100 kg</td></tr>
<tr><td>Material</td><td>Plast</td></tr>
<tr><td>Höjd ram</td><td>25 mm</td></tr>
<tr><td>Hjulbuffert</td><td>-</td></tr>
<tr><td>Viktig information</td><td>-</td></tr>
</table>",Bartscher,Business & Industrial > Food Service,Köksredskap,"kategori:kitchen-utensils, Köksredskap, marka:Bartscher, tamamlayici, sira:0148, siparis-uzerine",TRUE,Title,Default Title,300135,6200,shopify,0,continue,manual,175.00,,TRUE,TRUE,https://api.bartscher.com/occ/v2/permalink/image/300135/300135,1,Transportvagn TBGN110,FALSE,Transportvagn TBGN110,Mer mobilitet för termo-transportkantin GN110-1 och GN110-12. Kanten på transportvagnen förhindrar att boxarna glider iväg.,active,720,545,190,24,10
transport-cart-tbgn110-300135,,,,,,,,,,,,,,,,,,,,https://api.bartscher.com/occ/v2/permalink/image/300135/300135_1,2,Transportvagn TBGN110,,,,,,,,,
transport-cart-tbgn110-300135,,,,,,,,,,,,,,,,,,,,https://api.bartscher.com/occ/v2/permalink/image/300135/300135_2,3,Transportvagn TBGN110,,,,,,,,,
transport-cart-tbgn110-300135,,,,,,,,,,,,,,,,,,,,https://api.bartscher.com/occ/v2/permalink/image/300135/300135_3,4,Transportvagn TBGN110,,,,,,,,,
transport-cart-tbgn110-300135,,,,,,,,,,,,,,,,,,,,https://api.bartscher.com/occ/v2/permalink/image/300135/300135_4,5,Transportvagn TBGN110,,,,,,,,,
transport-cart-tbgn110-300135,,,,,,,,,,,,,,,,,,,,https://api.bartscher.com/occ/v2/permalink/image/300135/300135_6,6,Transportvagn TBGN110,,,,,,,,,
oil-and-grease-remover-f1l-173276,Olje- och fettlösare F1l,"<p>Olje- och fettlösaren rengör, förseglar och tillhandahåller en långvarig glans tack vare lotuseffekten. För alla vatten- och alkalibeständiga ytor, golv och apparater i storkök och livsmedelsbearbetande industri, för kaffekannor och även för dopprengöring av porslin, bestick och köksgeråd.</p>
<h3>Teknik bilgiler</h3><table>
<tr><td>Ölçüler</td><td>90 × 63 × 251 mm</td></tr>
<tr><td>Ağırlık</td><td>1 kg</td></tr>
<tr><td>HACCP-konform</td><td>ja</td></tr>
<tr><td>Användning</td><td>Applicera, låt verka och skölj av grundligt eller torka med en fuktig trasa, Använd rengöringsmedlet outspätt till apparater, arbetsytor, kokplattor och kraftig smuts, Vid användning på större ytor som t.ex. golv: späd med vatten, beroende på nedsmutsning (rekommenderad dosering 100-500 ml till rengöringsmedel till 5 liter vatten)</td></tr>
<tr><td>Dimensionerad för</td><td>Avtvättbara arbetsytor, ytor i rostfritt stål, Kakelväggar och -golv, Högeffektivt mot beläggningar i kaffekannor, Maskiner, apparater</td></tr>
<tr><td>Inklusive</td><td>-</td></tr>
<tr><td>Klorfritt</td><td>ja</td></tr>
<tr><td>Viktig information</td><td>Bortskaffa rester enligt föreskrifterna, Säkerhetsdatablad kan skickas vid förfrågan, Återvinn förpackningen endast helt fri från rester, Hålles borta från barn!</td></tr>
<tr><td>Fosfatfritt</td><td>ja</td></tr>
<tr><td>Volym</td><td>6 x 1 liter</td></tr>
<tr><td>pH-värde</td><td>10</td></tr>
<tr><td>Egenskaper</td><td>Avlastar fettavskiljaren genom snabb de-emulgering, Bruksklart utan omtappning, Utmärkta egenskaper för lösande av olja, fett och sot, Rengör och förseglar, Tillhandahåller en långvarig glans tack vare lotuseffekten</td></tr>
<tr><td>Utförande</td><td>Flytande</td></tr>
<tr><td>Beställningsmängdenhet</td><td>1 kartong (6 flaskor)</td></tr>
</table>",Bartscher,Business & Industrial > Food Service,Kaffe,"kategori:coffee, Kaffe, marka:Bartscher, tamamlayici, sira:0148, siparis-uzerine",TRUE,Title,Default Title,173276,1000,shopify,0,continue,manual,55.00,,TRUE,TRUE,https://api.bartscher.com/occ/v2/permalink/image/173276/173276,1,Olje- och fettlösare F1l,FALSE,Olje- och fettlösare F1l,"Olje- och fettlösaren rengör, förseglar och tillhandahåller en långvarig glans tack vare lotuseffekten. För alla vatten- och alkalibeständiga ytor, golv och apparater i storkök och livsmedelsbearbetande industri, för kaffekannor och även för dopprengöring av porslin, bestick och köksgeråd.",active,90,63,251,24,10
oil-and-grease-remover-f1l-173276,,,,,,,,,,,,,,,,,,,,https://api.bartscher.com/occ/v2/permalink/image/173276/173276_2,2,Olje- och fettlösare F1l,,,,,,,,,
shelf-700-w1800-310187,Mellanhylla 1800,"<p>Mellanhylla i rostfritt stål som passar arbetsbord med en bredd på 1800 mm – skapar strukturerat förvaringsutrymme under bordet. Enkel eftermontering för mer ordning och kapacitet under arbetsytan. För kök som vill optimera sitt arbetsbord i efterhand.</p>
<h3>Teknik bilgiler</h3><table>
<tr><td>Ölçüler</td><td>1780 × 680 × 40 mm</td></tr>
<tr><td>Ağırlık</td><td>9.7 kg</td></tr>
<tr><td>Material</td><td>CNS 18/10</td></tr>
<tr><td>Viktig information</td><td>-</td></tr>
</table>",Bartscher,Business & Industrial > Food Service,Arbetsbänkar,"kategori:stainless-steel-furniture, Rostfria möbler, alt:worktables, Arbetsbänkar, marka:Bartscher, tamamlayici, sira:0147, siparis-uzerine",TRUE,Title,Default Title,310187,9700,shopify,0,continue,manual,195.00,,TRUE,TRUE,https://api.bartscher.com/occ/v2/permalink/image/310187/310187,1,Mellanhylla 1800,FALSE,Mellanhylla 1800,Mellanhylla i rostfritt stål som passar arbetsbord med en bredd på 1800 mm – skapar strukturerat förvaringsutrymme under bordet. Enkel eftermontering för mer ordning och kapacitet under arbetsytan. För kök som vill optimera sitt arbetsbord i efterhand.,active,1780,680,40,24,10
paella-tripod-3k500-a153144,Paellafat på trefot 3K500,"<p>Setet med 3 fötter och stabiliserande mellanstag får upp paella-gasbrännare 3K500 snabbt och säkert på en bekväm arbetshöjd.</p>
<h3>Teknik bilgiler</h3><table>
<tr><td>Ölçüler</td><td>25 × 25 × 750 mm</td></tr>
<tr><td>Ağırlık</td><td>1.9 kg</td></tr>
<tr><td>Material</td><td>Stål, Lackat</td></tr>
<tr><td>Viktig information</td><td>-</td></tr>
</table>",Bartscher,Business & Industrial > Food Service,Tillagning,"kategori:cooking, Tillagning, marka:Bartscher, tamamlayici, sira:0147, siparis-uzerine",TRUE,Title,Default Title,A153144,1900,shopify,0,continue,manual,39.00,,TRUE,TRUE,https://api.bartscher.com/occ/v2/permalink/image/A153144/A153144,1,Paellafat på trefot 3K500,FALSE,Paellafat på trefot 3K500,Setet med 3 fötter och stabiliserande mellanstag får upp paella-gasbrännare 3K500 snabbt och säkert på en bekväm arbetshöjd.,active,25,25,750,24,10
